kommunenummer,value,color
1845,51,"[35, 112, 107]"
1848,55,"[77, 71, 110]"
1851,68,"[119, 69, 26]"
1853,34,"[227, 44, 41]"
1857,80,"[251, 87, 246]"
1859,83,"[58, 161, 56]"
1860,24,"[13, 18, 247]"
1865,22,"[221, 218, 33]"
1866,77,"[44, 18, 54]"
1867,30,"[229, 220, 153]"
1868,88,"[155, 132, 218]"
1870,64,"[198, 197, 134]"
1871,80,"[171, 160, 74]"
1874,30,"[247, 131, 36]"
1875,75,"[88, 191, 189]"
3001,10,"[253, 159, 123]"
3002,74,"[219, 218, 130]"
3003,7,"[242, 107, 187]"
3004,93,"[106, 155, 149]"
3005,2,"[124, 128, 118]"
3006,25,"[117, 5, 41]"
3007,99,"[139, 216, 66]"
3011,2,"[161, 181, 151]"
3012,96,"[96, 171, 73]"
3013,23,"[179, 69, 30]"
3014,28,"[214, 79, 213]"
3015,90,"[74, 241, 2]"
3016,38,"[154, 105, 136]"
3017,61,"[183, 195, 176]"
3018,88,"[35, 253, 70]"
3019,50,"[178, 77, 202]"
3020,24,"[253, 14, 106]"
3021,32,"[88, 101, 81]"
3022,84,"[234, 29, 154]"
3023,86,"[169, 157, 109]"
3024,59,"[231, 64, 241]"
3025,35,"[214, 54, 192]"
3026,25,"[250, 141, 243]"
3027,67,"[53, 71, 249]"
3028,16,"[49, 211, 226]"
3029,13,"[88, 41, 122]"
3030,97,"[164, 149, 177]"
3031,73,"[139, 78, 19]"
3032,24,"[139, 35, 134]"
3033,30,"[213, 59, 138]"
3034,46,"[247, 25, 9]"
3035,10,"[131, 187, 101]"
3036,44,"[205, 198, 152]"
3037,35,"[152, 220, 33]"
3038,11,"[25, 235, 115]"
3039,84,"[11, 145, 246]"
3040,73,"[104, 139, 142]"
3041,88,"[66, 14, 103]"
3042,49,"[15, 148, 23]"
3043,80,"[209, 137, 219]"
3044,53,"[242, 211, 60]"
3045,98,"[55, 224, 104]"
3046,79,"[204, 95, 176]"
3047,77,"[232, 255, 40]"
3048,36,"[136, 36, 171]"
3049,74,"[136, 187, 38]"
3050,45,"[126, 214, 134]"
3051,5,"[138, 37, 76]"
3052,99,"[116, 166, 57]"
3053,17,"[49, 134, 188]"
3054,92,"[121, 50, 42]"
3401,40,"[78, 142, 171]"
3403,25,"[136, 194, 220]"
3405,92,"[212, 15, 40]"
3407,36,"[106, 70, 177]"
3411,77,"[53, 159, 134]"
3412,67,"[148, 134, 60]"
3413,80,"[69, 216, 23]"
3414,36,"[194, 192, 49]"
3415,44,"[31, 119, 91]"
3416,61,"[120, 198, 187]"
3417,61,"[108, 195, 58]"
3418,37,"[120, 204, 192]"
3419,27,"[49, 219, 147]"
3420,81,"[203, 90, 99]"
3421,29,"[253, 164, 203]"
3422,96,"[200, 71, 2]"
3423,73,"[112, 108, 99]"
3424,17,"[213, 205, 50]"
3425,16,"[30, 25, 211]"
3426,85,"[66, 16, 188]"
3427,63,"[254, 31, 100]"
3428,70,"[90, 178, 249]"
3429,61,"[229, 238, 128]"
3430,27,"[165, 183, 149]"
3431,76,"[42, 195, 238]"
3432,73,"[229, 38, 203]"
3433,99,"[231, 151, 203]"
3434,54,"[38, 98, 176]"
3435,8,"[218, 94, 108]"
3436,38,"[41, 244, 104]"
3437,63,"[174, 174, 92]"
3438,9,"[50, 160, 208]"
3439,88,"[154, 202, 96]"
3440,46,"[103, 233, 183]"
3441,64,"[250, 27, 156]"
3442,56,"[144, 225, 170]"
3443,8,"[126, 51, 97]"
3446,27,"[9, 151, 255]"
3447,60,"[231, 67, 248]"
3448,73,"[153, 213, 163]"
3449,40,"[18, 145, 138]"
3450,16,"[94, 176, 81]"
3451,72,"[233, 10, 85]"
3452,29,"[162, 146, 62]"
3453,19,"[27, 130, 65]"
3454,27,"[24, 122, 32]"
3801,89,"[168, 65, 149]"
3802,2,"[254, 209, 96]"
3803,78,"[125, 25, 24]"
3804,24,"[23, 33, 34]"
3805,55,"[239, 100, 14]"
3806,54,"[128, 196, 184]"
3807,16,"[165, 200, 81]"
3808,36,"[224, 251, 58]"
3811,96,"[213, 201, 220]"
3812,85,"[1, 47, 160]"
3813,92,"[60, 253, 0]"
3814,47,"[93, 253, 111]"
3815,29,"[20, 7, 76]"
3816,101,"[101, 70, 149]"
3817,92,"[20, 172, 172]"
3818,85,"[6, 45, 136]"
3819,73,"[176, 28, 80]"
3820,29,"[58, 77, 20]"
3821,80,"[213, 139, 19]"
3822,68,"[52, 225, 24]"
3823,52,"[91, 23, 86]"
3824,101,"[82, 2, 179]"
3825,65,"[201, 70, 202]"
4201,48,"[229, 31, 34]"
4202,55,"[24, 94, 217]"
4203,67,"[63, 15, 152]"
4204,24,"[187, 69, 241]"
4205,84,"[216, 111, 16]"
4206,84,"[24, 3, 14]"
4207,95,"[35, 146, 144]"
4211,72,"[64, 128, 9]"
4212,84,"[51, 158, 189]"
4213,84,"[8, 76, 86]"
4214,12,"[242, 209, 221]"
4215,13,"[65, 62, 86]"
4216,95,"[187, 64, 187]"
4217,39,"[111, 125, 32]"
4218,52,"[126, 194, 98]"
4219,100,"[35, 94, 86]"
4220,87,"[104, 116, 17]"
4221,53,"[181, 171, 138]"
4222,13,"[46, 210, 154]"
4223,51,"[41, 88, 62]"
4224,82,"[246, 100, 128]"
4225,101,"[46, 63, 153]"
4226,64,"[93, 207, 147]"
4227,46,"[215, 245, 233]"
4228,31,"[168, 31, 106]"
4601,19,"[11, 205, 28]"
4602,82,"[80, 13, 108]"
4611,65,"[94, 167, 238]"
4612,47,"[185, 159, 5]"
4613,88,"[214, 211, 225]"
4614,81,"[107, 61, 207]"
4615,56,"[105, 66, 31]"
4616,29,"[134, 28, 126]"
4617,99,"[163, 163, 3]"
4618,82,"[46, 172, 255]"
4619,61,"[244, 192, 74]"
4620,65,"[223, 166, 18]"
4621,13,"[89, 217, 99]"
4622,35,"[110, 13, 193]"
4623,86,"[118, 244, 127]"
4624,66,"[86, 154, 85]"
4625,98,"[135, 90, 118]"
4626,13,"[75, 83, 155]"
4627,1,"[59, 206, 14]"
4628,83,"[203, 159, 187]"
4629,14,"[54, 83, 72]"
4630,52,"[27, 146, 83]"
4631,87,"[245, 194, 222]"
4632,39,"[83, 231, 16]"
4633,58,"[167, 180, 53]"
4634,19,"[106, 130, 156]"
4635,65,"[50, 191, 139]"
4636,47,"[69, 68, 72]"
4637,35,"[189, 193, 33]"
4638,87,"[210, 226, 175]"
4639,44,"[173, 236, 112]"
4640,37,"[229, 101, 124]"
4641,66,"[169, 175, 151]"
4642,68,"[148, 127, 31]"
4643,96,"[103, 60, 25]"
4644,41,"[9, 85, 105]"
4645,71,"[69, 190, 39]"
4646,2,"[186, 148, 24]"
4647,15,"[50, 145, 202]"
4648,2,"[62, 37, 249]"
4649,37,"[109, 99, 176]"
4650,72,"[126, 144, 132]"
4651,34,"[119, 250, 30]"
5001,51,"[174, 250, 86]"
5006,95,"[2, 46, 159]"
5007,98,"[136, 54, 139]"
5014,90,"[62, 56, 221]"
5020,17,"[156, 249, 138]"
5021,44,"[52, 83, 90]"
5022,46,"[215, 137, 73]"
5025,43,"[74, 228, 95]"
5026,91,"[174, 93, 76]"
5027,62,"[146, 104, 182]"
5028,1,"[192, 89, 180]"
5029,34,"[166, 69, 19]"
5031,79,"[52, 150, 127]"
5032,5,"[57, 240, 53]"
5033,101,"[158, 38, 49]"
5034,66,"[232, 191, 23]"
5035,71,"[23, 124, 28]"
5036,70,"[143, 77, 245]"
5037,86,"[222, 119, 214]"
5038,16,"[7, 109, 220]"
5041,66,"[35, 67, 152]"
5042,3,"[97, 184, 219]"
5043,78,"[232, 159, 190]"
5044,37,"[99, 139, 184]"
5045,70,"[177, 91, 127]"
5046,74,"[83, 44, 107]"
5047,3,"[175, 115, 176]"
5049,51,"[61, 210, 198]"
5052,56,"[103, 42, 87]"
5053,96,"[149, 61, 139]"
5054,98,"[1, 0, 33]"
5055,85,"[70, 142, 23]"
5056,3,"[10, 186, 95]"
5057,58,"[253, 249, 61]"
5058,53,"[120, 208, 20]"
5059,74,"[64, 46, 64]"
5060,28,"[171, 71, 191]"
5061,1,"[58, 165, 234]"
5401,44,"[237, 51, 15]"
5402,99,"[111, 157, 254]"
5403,61,"[52, 27, 32]"
5404,35,"[124, 237, 146]"
5405,6,"[136, 108, 160]"
5406,76,"[243, 191, 210]"
5411,9,"[111, 235, 86]"
5412,55,"[66, 63, 231]"
5413,42,"[94, 232, 146]"
5414,17,"[221, 82, 25]"
5415,55,"[195, 40, 172]"
5416,59,"[235, 137, 65]"
5417,24,"[229, 223, 241]"
5418,73,"[63, 252, 116]"
5419,5,"[32, 172, 241]"
5420,77,"[10, 216, 60]"
5421,47,"[251, 127, 129]"
5422,83,"[49, 205, 109]"
5423,97,"[34, 249, 12]"
5424,52,"[1, 45, 235]"
5425,32,"[198, 101, 56]"
5426,78,"[192, 152, 96]"
5427,61,"[26, 62, 146]"
5428,9,"[246, 68, 26]"
5429,52,"[76, 96, 91]"
5430,29,"[63, 158, 76]"
5432,99,"[195, 244, 215]"
5433,75,"[127, 224, 98]"
5434,22,"[106, 195, 122]"
5435,35,"[236, 4, 253]"
5436,58,"[223, 107, 15]"
5437,3,"[10, 96, 160]"
5438,33,"[61, 112, 235]"
5439,56,"[214, 235, 70]"
5440,9,"[145, 126, 170]"
5441,99,"[182, 175, 39]"
5442,28,"[52, 174, 114]"
5443,90,"[71, 8, 89]"
5444,24,"[183, 38, 183]"
