kommunenummer,value,color
1253,37,"[72, 203, 223]"
1256,92,"[237, 221, 230]"
1259,59,"[35, 203, 87]"
1260,88,"[198, 7, 179]"
1263,31,"[236, 235, 62]"
1264,9,"[63, 81, 12]"
1265,43,"[240, 5, 62]"
1266,58,"[29, 173, 213]"
1401,91,"[173, 225, 222]"
1411,86,"[72, 250, 35]"
1412,49,"[37, 225, 170]"
1413,94,"[218, 107, 107]"
1416,27,"[19, 79, 154]"
1417,97,"[194, 171, 123]"
1418,63,"[144, 234, 131]"
1419,20,"[252, 116, 153]"
1420,66,"[195, 82, 171]"
1421,19,"[47, 227, 218]"
1422,47,"[94, 179, 118]"
1424,67,"[215, 226, 131]"
1426,43,"[252, 153, 166]"
1428,71,"[136, 13, 242]"
1429,90,"[240, 123, 127]"
1430,89,"[152, 254, 13]"
1431,63,"[36, 57, 69]"
1432,11,"[123, 163, 104]"
1433,18,"[114, 25, 29]"
1438,59,"[98, 225, 192]"
1439,47,"[168, 173, 160]"
1441,28,"[244, 26, 118]"
1443,27,"[109, 171, 42]"
1444,26,"[21, 20, 36]"
1445,74,"[24, 246, 163]"
1449,101,"[205, 167, 6]"
1502,93,"[18, 224, 161]"
1504,9,"[16, 27, 146]"
1505,61,"[31, 230, 32]"
1511,98,"[164, 100, 199]"
1514,54,"[223, 131, 147]"
1515,17,"[148, 85, 131]"
1516,56,"[194, 55, 191]"
1517,44,"[3, 82, 0]"
1519,81,"[119, 160, 57]"
1520,45,"[85, 84, 34]"
1523,45,"[64, 54, 182]"
1524,83,"[245, 169, 169]"
1525,95,"[64, 240, 208]"
1526,92,"[214, 241, 209]"
1528,63,"[21, 104, 115]"
1529,12,"[115, 253, 48]"
1531,32,"[10, 80, 229]"
1532,98,"[132, 180, 12]"
1534,53,"[63, 86, 223]"
1535,31,"[146, 32, 94]"
1539,100,"[102, 2, 204]"
1543,11,"[88, 177, 6]"
1545,21,"[238, 206, 225]"
1546,99,"[183, 118, 201]"
1547,62,"[212, 103, 5]"
1548,3,"[252, 216, 197]"
1551,67,"[140, 8, 128]"
1554,70,"[34, 103, 91]"
1557,29,"[248, 180, 31]"
1560,88,"[110, 13, 2]"
1563,16,"[153, 230, 67]"
1566,92,"[47, 31, 12]"
1571,54,"[220, 74, 45]"
1573,27,"[7, 179, 119]"
1576,25,"[96, 154, 235]"
1804,16,"[176, 83, 208]"
1805,96,"[98, 99, 221]"
1811,49,"[75, 194, 204]"
1812,61,"[101, 122, 182]"
1813,14,"[158, 150, 247]"
1815,65,"[248, 90, 115]"
1816,79,"[226, 109, 7]"
1818,2,"[165, 211, 31]"
1820,24,"[139, 237, 149]"
1822,13,"[0, 110, 94]"
1824,65,"[104, 177, 13]"
1825,100,"[215, 124, 10]"
1826,35,"[205, 165, 142]"
1827,53,"[219, 20, 224]"
1828,6,"[146, 130, 255]"
1832,38,"[21, 127, 96]"
1833,91,"[245, 239, 215]"
1834,5,"[67, 62, 98]"
1836,80,"[29, 80, 109]"
1837,46,"[130, 91, 54]"
1838,69,"[221, 176, 248]"
1839,81,"[233, 81, 9]"
1840,16,"[85, 24, 249]"
1841,90,"[191, 0, 146]"
1845,36,"[6, 249, 25]"
1848,94,"[147, 4, 85]"
1849,39,"[193, 132, 108]"
1850,40,"[159, 185, 25]"
1851,64,"[11, 170, 207]"
1852,66,"[131, 133, 2]"
1853,67,"[123, 178, 89]"
1854,59,"[111, 178, 191]"
1857,36,"[253, 196, 213]"
1859,69,"[149, 4, 124]"
1860,72,"[75, 173, 153]"
1865,35,"[98, 65, 82]"
1866,8,"[24, 202, 109]"
1867,72,"[147, 183, 90]"
1868,96,"[156, 121, 169]"
1870,22,"[34, 167, 235]"
1871,86,"[242, 173, 186]"
1874,97,"[219, 52, 19]"
1902,88,"[114, 27, 175]"
1903,39,"[210, 146, 118]"
1911,96,"[176, 239, 105]"
1913,67,"[172, 243, 119]"
1917,62,"[206, 91, 71]"
1919,29,"[180, 110, 134]"
1920,76,"[36, 187, 200]"
1922,96,"[121, 10, 117]"
1923,73,"[42, 31, 188]"
1924,23,"[254, 141, 127]"
1925,76,"[107, 162, 44]"
1926,35,"[92, 231, 222]"
1927,46,"[228, 212, 190]"
1928,7,"[222, 72, 220]"
1929,90,"[1, 98, 121]"
1931,48,"[53, 141, 80]"
1933,28,"[118, 69, 136]"
1936,89,"[80, 164, 240]"
1938,75,"[253, 49, 77]"
1939,79,"[237, 165, 140]"
1940,69,"[234, 37, 47]"
1941,66,"[8, 223, 174]"
1942,24,"[86, 179, 75]"
1943,50,"[157, 222, 2]"
2002,90,"[248, 68, 27]"
2003,43,"[138, 150, 27]"
2004,2,"[252, 232, 119]"
2011,46,"[103, 39, 235]"
2012,60,"[211, 137, 203]"
2014,90,"[213, 185, 181]"
2015,59,"[203, 63, 98]"
2017,39,"[105, 24, 240]"
2018,48,"[6, 143, 192]"
2019,87,"[24, 71, 233]"
2020,95,"[101, 182, 191]"
2021,88,"[80, 22, 6]"
2022,83,"[231, 136, 218]"
2023,35,"[101, 132, 121]"
2024,88,"[65, 159, 146]"
2025,54,"[178, 226, 80]"
2027,24,"[237, 26, 158]"
2028,35,"[9, 231, 138]"
2030,94,"[234, 164, 233]"
5001,34,"[248, 215, 192]"
5004,83,"[136, 196, 199]"
5005,80,"[147, 189, 140]"
5011,33,"[162, 18, 154]"
5012,23,"[81, 164, 111]"
5013,30,"[85, 3, 185]"
5014,11,"[41, 249, 110]"
5015,43,"[223, 31, 68]"
5016,51,"[20, 246, 132]"
5017,78,"[53, 123, 14]"
5018,42,"[0, 109, 170]"
5019,22,"[213, 255, 138]"
5020,55,"[71, 226, 151]"
5021,89,"[133, 28, 72]"
5022,90,"[33, 34, 14]"
5023,25,"[190, 218, 123]"
5024,94,"[216, 49, 109]"
5025,16,"[255, 202, 236]"
5026,61,"[50, 100, 63]"
5027,15,"[17, 59, 214]"
5028,50,"[17, 218, 191]"
5029,69,"[119, 29, 207]"
5030,88,"[161, 155, 12]"
5031,96,"[4, 231, 132]"
5032,95,"[62, 120, 43]"
5033,97,"[152, 56, 91]"
5034,27,"[177, 247, 55]"
5035,33,"[199, 123, 244]"
5036,92,"[164, 86, 202]"
5037,33,"[70, 47, 38]"
5038,66,"[75, 67, 215]"
5039,95,"[220, 131, 88]"
5040,73,"[219, 191, 162]"
5041,75,"[249, 182, 65]"
5042,74,"[228, 33, 103]"
5043,46,"[198, 162, 94]"
5044,61,"[68, 188, 15]"
5045,90,"[65, 158, 225]"
5046,98,"[75, 9, 89]"
5047,2,"[95, 61, 193]"
5048,64,"[95, 54, 21]"
5049,90,"[180, 142, 205]"
5050,37,"[28, 106, 48]"
5051,85,"[112, 237, 26]"
5052,57,"[211, 223, 253]"
5053,55,"[160, 144, 222]"
5054,32,"[153, 30, 79]"
5061,24,"[105, 251, 155]"
